color_name,hex,R,G,B
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Coral,#FF7F50,255,127,80
Gold,#FFD700,255,215,0
Khaki,#F0E68C,240,230,140
Lavender,#E6E6FA,230,230,250
LimeGreen,#32CD32,50,205,50
LightBlue,#ADD8E6,173,216,230
LightCoral,#F08080,240,128,128
LightCyan,#E0FFFF,224,255,255
LightGoldenrodYellow,#FAFAD2,250,250,210
LightGreen,#90EE90,144,238,144
LightPink,#FFB6C1,255,182,193
LightSalmon,#FFA07A,255,160,122
LightSeaGreen,#20B2AA,32,178,170
LightSkyBlue,#87CEFA,135,206,250
LightSlateGray,#778899,119,136,153
LightSteelBlue,#B0C4DE,176,196,222
LightYellow,#FFFFE0,255,255,224
DarkRed,#8B0000,139,0,0
DarkGreen,#006400,0,100,0
DarkBlue,#00008B,0,0,139
DarkCyan,#008B8B,0,139,139
DarkMagenta,#8B008B,139,0,139
DarkOrange,#FF8C00,255,140,0
DarkGray,#A9A9A9,169,169,169
DarkSlateGray,#2F4F4F,47,79,79
DarkGoldenrod,#B8860B,184,134,11
DarkKhaki,#BDB76B,189,183,107
